geneID	Control_1	Control_2	Control_3	DSS_1	DSS_2	DSS_3	ZnCA_1	ZnCA_2	ZnCA_3
ENSMUSG00000055805	6.54	6.75	4.81	24.02	17.81	19.61	13.28	11.03	8.96
ENSMUSG00000097910	2.62	2.41	2.6	5.9	4.26	4.87	2.23	2.63	4.8
ENSMUSG00000023868	2.19	1.61	1.18	4.6	2.54	1.5	1.04	0.74	1.21
ENSMUSG00000030519	1.06	1.26	0.62	3.93	2.55	4.31	1.77	2.96	1.87
ENSMUSG00000073421	185.91	172.38	145.1	514.33	590.65	754.73	869.56	707.11	435.76
ENSMUSG00000094091	7.9	6.99	4.51	2.61	1.41	0.94	2.87	11.94	1.44
ENSMUSG00000049608	0.91	0.81	0.87	3.48	3.35	2.57	3.41	2.46	1.78
ENSMUSG00000029510	1.25	1.01	1.18	2.81	3.39	2.4	1.72	2.33	0.9
ENSMUSG00000047515	3.16	2.27	0.95	1.04	3.6	0.78	0.33	0.28	1.6
ENSMUSG00000034156	1.28	2.13	1.37	3.21	3.73	2.11	0.78	0.69	1.48
ENSMUSG00000021950	118.96	114.84	241.62	140.41	149.8	100.9	46.17	14.45	74.12
ENSMUSG00000024338	82.74	53.01	36.92	127.65	152.9	413.77	289.34	192.69	308.32
ENSMUSG00000028347	22.22	21.81	25.95	13.91	10.95	5.5	7.89	5.94	11.06
ENSMUSG00000027356	48.8	39.96	36.41	30.3	19.98	9.94	24	23.22	46.58
ENSMUSG00000010461	0.41	0.34	0.27	0.7	0.42	1.49	0.39	0.73	0.57
ENSMUSG00000053040	2.53	2.38	0.98	6.04	5.32	5.01	5.09	2.11	1.24
ENSMUSG00000039137	11.8	8.46	8.42	5.59	6.32	1.95	3.42	4.99	3.72
